t,x,y
0.6,9.8,13.4
0.7,11.3,14.8
0.8,13.1,16.6
0.9,14.7,17.9
1.0,15.9,19.4
1.1,17.5,20.1
1.2,18.6,21.5
1.3,20.0,21.9
1.4,21.0,23.0
1.5,21.8,23.2
1.6,23.4,23.7
1.7,24.5,24.1
1.8,24.9,24.3
1.9,26.0,24.7
2.0,26.7,24.8
2.1,27.5,24.9
2.2,28.5,24.8
2.3,28.9,24.7
2.4,29.8,24.3
