part,TYS,TUS,thickness
aa,157,164.7,0.485
ab,159.6,168.2,0.625
ac,155.6,165.4,0.625
ha,165.8,174,0.375
hb,157.4,163.8,1
hc,158.4,164.6,0.5
hd,157.6,167.3,0.15
ba,156.4,161.7,3
bb,157.7,162.7,3
ga,155.7,164.4,0.5
gb,158.8,163.6,0.5
gc,158.1,165.1,0.5
gd,157,165.8,0.5
ge,154.8,164.1,0.5
gf,156.1,163.2,0.375
